Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,-14.0,29.62,19.19,0.11770000000000003,5.5,-1.6000000000000014,0.05465609373482527,-2.9404400546953937,5.750102314987814
HIGHER,-4.0,7.27,0.6600000000000001,0.16110000000000002,6.399999999999999,2.9000000000000004,0.031079315776432193,-2.7906697832119,-11.594045638317539
LOWER,-2.0,1.7600000000000016,6.389999999999999,-0.052100000000000035,0.8999999999999986,-0.1999999999999993,-0.009483180397240165,-1.9055281040975078,-8.855060034305318
HIGHER,-4.0,7.25,0.40000000000000213,0.05879999999999996,5.399999999999999,4.1,-0.003275112884680853,-1.0870133884576774,-13.619704356568036
HIGHER,-1.0,2.080000000000002,-0.4900000000000002,0.049800000000000066,4.199999999999999,-0.9000000000000004,0.04134387598921274,-1.4597693734241908,2.991184531164791
LOWER,-2.0,4.879999999999999,7.170000000000002,-0.06470000000000009,-2.0,1.5999999999999996,-0.0360725261796514,2.232401000213855,-4.175300624908218
LOWER,-1.0,2.080000000000002,-0.4900000000000002,0.049800000000000066,4.199999999999999,-0.9000000000000004,0.04134387598921274,-1.4597693734241908,2.991184531164791
HIGHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGHER,-15.0,58.519999999999996,27.009999999999998,0.19490000000000007,12.900000000000002,4.4,0.08853710066344295,-9.099986288413836,15.619870938802976
LOWER,-1.0,-0.16000000000000014,-0.9800000000000004,0.036800000000000055,-1.9000000000000021,1.9000000000000004,-0.049658533957977924,-3.3004866626954588,-13.073341928090535
HIGHER,-7.0,11.88,10.53,-0.0625,3.6999999999999993,-1.5,0.025734748494641746,-2.335005197893473,-4.6192768589693785
HIGHER,-9.0,21.65,12.9,0.12760000000000005,5.5,3.799999999999999,-0.005742937478649512,-0.23588410424918038,4.77554450952892
HIGHER,-5.0,3.3900000000000006,12.66,-0.09090000000000009,0.9000000000000021,-2.5999999999999996,-0.01865725822239661,0.08027550162944763,-12.24185014507595
HIGHER,-11.0,29.519999999999996,14.42,0.0474,3.6999999999999993,-1.700000000000001,0.08682955216447064,-5.087472865016322,-15.443137218080409
HIGHER,-3.0,13.31,8.809999999999999,0.04410000000000003,6.800000000000001,1.5999999999999996,0.04172420226608442,0.4495807762672719,3.3132271600228833
HIGHER,-13.0,31.54,19.91,0.20510000000000006,-1.8000000000000007,-4.800000000000001,0.04478864737598948,-3.9445905567584862,1.2960689306359754
HIGHER,-8.0,28.209999999999997,-1.3599999999999994,0.3037000000000001,7.800000000000001,6.1,0.044154140712191925,-5.93777591192803,3.0808087510007667
HIGHER,-1.0,4.699999999999999,-1.4499999999999993,0.15880000000000005,2.0,2.6999999999999993,0.007309377808097706,0.6605310582626878,3.255343525115464
HIGHER,-3.0,14.329999999999998,-2.2799999999999994,0.13160000000000005,3.1999999999999993,-0.40000000000000036,0.07839024351503665,-5.089440479839164,-4.526958971022118
HIGHER,-5.0,12.32,6.950000000000001,0.10040000000000004,-2.900000000000002,-0.3000000000000007,0.005007240891264253,-0.030362010787747806,-10.447454808450189
HIGHER,-3.0,18.799999999999997,-0.8300000000000001,0.10809999999999997,5.600000000000001,2.4000000000000004,0.0453880803726161,-1.8444983266768187,5.530640729205636
HIGHER,-1.0,-0.29999999999999716,2.3900000000000006,0.043200000000000016,-1.8000000000000007,3.5999999999999996,-0.05815231001058696,2.306888868218394,7.839571348927926
LOWER,-1.0,12.159999999999997,-2.75,0.020100000000000007,6.400000000000002,2.9000000000000004,0.03782401443369665,-0.3907231639416082,10.777258494970198
HIGHER,-1.0,2.0700000000000003,0.9199999999999999,0.020100000000000007,0.0,-1.6999999999999993,0.0281505361249752,0.5670639348909745,0.3182199953660785
HIGHER,-8.0,32.480000000000004,27.15,0.04730000000000001,0.20000000000000284,0.5999999999999996,-0.0006874889370200865,0.9950741537713483,14.9020744749388
HIGHER,-4.0,-1.5100000000000016,-3.7,0.12120000000000009,2.900000000000002,0.3000000000000007,0.007774201021986782,-4.540624980396883,-9.774821935445438
LOWER,-8.0,12.28,13.1,-0.07830000000000004,2.6999999999999993,-0.5,0.03306973105508021,1.2124743503626085,-14.779001248697128
HIGHER,-7.0,9.25,19.43,-0.07620000000000005,-3.1999999999999993,-0.6999999999999993,0.028948352304045133,5.90537947979486,1.02215511553117
HIGHER,-8.0,17.419999999999998,5.679999999999999,0.0727000000000001,3.3999999999999986,2.5999999999999996,0.015446546136080652,0.37691261493285744,-1.9767441860465098
HIGHER,-7.0,7.4399999999999995,8.219999999999999,-0.037900000000000045,-4.100000000000001,-1.5,-0.02746490079095043,0.3952108580886211,2.20643231114434
HIGHER,-8.0,16.619999999999997,12.58,0.12580000000000002,-1.0,-0.5999999999999996,0.025987205327784146,0.3829357766405046,1.5268852639094845
HIGHER,-14.0,32.5,15.41,0.21540000000000004,4.099999999999998,-0.5,0.07836184419064463,-0.9814271443088511,-0.15809853673723495
LOWER,-4.0,14.040000000000001,17.7,-0.1995,-0.5999999999999979,0.09999999999999964,0.0037115503285327645,0.5893437280707943,-6.844271936015055
