ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
56,2022,Boise State,8,27,8,0.7714,5.22,11.93,24.3,10.2,2389,1910,668,399,422,0.5419888199208682,16.07055812819888,46.996466431095406,https://www.sports-reference.com/cbb/schools/boise-state/men/2022.html
57,2022,Memphis,9,22,11,0.6667,7.86,14.67,26.9,12.5,2480,1895,716,522,527,0.5610758176322601,19.254376991202175,58.71766029246344,https://www.sports-reference.com/cbb/schools/memphis/men/2022.html
58,2022,UConn,5,23,10,0.697,6.88,16.4,26.7,13.8,2469,2021,616,463,388,0.5386031657388178,14.477395859763288,52.61363636363637,https://www.sports-reference.com/cbb/schools/connecticut/men/2022.html
59,2022,New Mexico State,12,27,7,0.7941,1.24,7.11,25.6,10.9,2464,1913,652,465,478,0.5600305471207521,17.849940998102976,53.50978135788262,https://www.sports-reference.com/cbb/schools/new-mexico-state/men/2022.html
60,2022,Arkansas,4,28,9,0.7568,8.62,16.27,26.3,10.8,2810,2241,833,512,452,0.5388261643247223,14.77355925112436,52.674897119341566,https://www.sports-reference.com/cbb/schools/arkansas/men/2022.html
61,2022,Vermont,13,28,6,0.8235,-5.7,7.81,27.5,7.3,2544,1902,504,515,326,0.5989377330771838,13.307426033570634,55.02136752136752,https://www.sports-reference.com/cbb/schools/vermont/men/2022.html
62,2022,Alabama,6,19,14,0.5758,11.59,14.62,27.6,13.4,2623,2072,681,484,480,0.5529928656963115,16.83241923945519,53.12843029637761,https://www.sports-reference.com/cbb/schools/alabama/men/2022.html
63,2022,Texas Tech,3,27,10,0.7297,8.65,20.08,26.2,10.6,2667,2055,722,506,499,0.5620226916398334,17.376587920659684,52.218782249742,https://www.sports-reference.com/cbb/schools/texas-tech/men/2022.html
64,2022,Montana State,14,27,8,0.7714,-5.54,-0.26,26.4,8.7,2679,1952,749,462,450,0.5870983011623626,16.474102710539032,50.054171180931746,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html
65,2022,Michigan State,7,23,13,0.6389,9.96,13.18,26.1,10.1,2601,2059,615,565,459,0.5582503434065934,16.459872337373593,60.170394036208734,https://www.sports-reference.com/cbb/schools/michigan-state/men/2022.html
66,2022,Davidson,10,27,7,0.7941,1.92,10.43,26.7,7.4,2567,1887,597,498,333,0.5970656097651744,13.41292474261685,54.84581497797357,https://www.sports-reference.com/cbb/schools/davidson/men/2022.html
67,2022,Duke,2,32,7,0.8205,7.26,19.55,29.7,10.5,3122,2357,675,642,400,0.5881688018085908,13.097576948264571,55.44041450777202,https://www.sports-reference.com/cbb/schools/duke/men/2022.html
68,2022,Cal State Fullerton,15,21,11,0.6562,-2.28,-0.04,24.8,9.8,2239,1781,625,360,388,0.5445038910505836,15.875613747954173,45.45454545454545,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html
